energy, R, scale, proportional
0.36000, 0.12018, 7.71605, 0.927315
0.37000, 0.14244, 7.3046, 1.04047
0.38000, 0.16990, 6.92521, 1.17659
0.39000, 0.15662, 6.57462, 1.02972
0.40000, 0.17795, 6.25, 1.11219
0.41000, 0.21191, 5.94884, 1.26062
0.42000, 0.21045, 5.66893, 1.19303
0.43000, 0.26582, 5.40833, 1.43764
0.43800, 0.31445, 5.21257, 1.63909
0.44000, 0.27114, 5.16529, 1.40052
0.45000, 0.31856, 4.93827, 1.57314
0.46000, 0.29863, 4.7259, 1.41129
0.47000, 0.36269, 4.52694, 1.64187
0.48000, 0.41626, 4.34028, 1.80668
0.48300, 0.42434, 4.28653, 1.81895
0.50000, 0.47917, 4, 1.91668
0.51000, 0.53818, 3.84468, 2.06913
0.52000, 0.53441, 3.69822, 1.97637
0.53000, 0.64770, 3.55999, 2.3058
0.54000, 0.71278, 3.42936, 2.44438
0.55000, 0.76157, 3.30579, 2.51759
0.56000, 0.82466, 3.18878, 2.62966
0.58000, 0.98470, 2.97265, 2.92717
0.59938, 1.26713, 2.78353, 3.52709
0.60000, 1.27602, 2.77778, 3.5445
0.60240, 1.43430, 2.75569, 3.95248
0.61050, 1.44391, 2.68305, 3.87408
0.61250, 1.46919, 2.66556, 3.91621
0.62000, 1.56426, 2.60146, 4.06935
0.62050, 1.78021, 2.59727, 4.62368
0.62951, 1.83620, 2.52345, 4.63356
0.63000, 1.83918, 2.51953, 4.63386
0.63050, 2.01462, 2.51553, 5.06784
0.63750, 1.87678, 2.46059, 4.61799
0.64000, 1.82743, 2.44141, 4.4615
0.64051, 2.07130, 2.43752, 5.04883
0.64260, 2.22231, 2.42169, 5.38175
0.65049, 2.41066, 2.3633, 5.69711
0.65952, 2.66538, 2.29903, 6.12778
0.66000, 2.68093, 2.29568, 6.15457
0.66050, 2.57812, 2.29221, 5.90959
0.66260, 2.77054, 2.2777, 6.31047
0.67050, 2.98936, 2.22435, 6.64937
0.67760, 3.32720, 2.17798, 7.24656
0.68059, 3.82901, 2.15888, 8.26638
0.68750, 4.09426, 2.1157, 8.66224
0.68760, 4.09810, 2.11509, 8.66784
0.68956, 4.12935, 2.10308, 8.68436
0.69000, 4.13640, 2.1004, 8.68809
0.69043, 4.06039, 2.09778, 8.51782
0.69760, 4.57888, 2.05488, 9.40906
0.70000, 4.73600, 2.04082, 9.66531
0.70052, 4.76808, 2.03779, 9.71633
0.70760, 5.02195, 1.99721, 10.0299
0.71047, 5.57636, 1.98111, 11.0474
0.71760, 5.70707, 1.94194, 11.0828
0.71951, 6.16537, 1.93164, 11.9093
0.72000, 6.28308, 1.92901, 12.1201
0.72025, 6.48024, 1.92767, 12.4918
0.72760, 6.61028, 1.88892, 12.4863
0.73024, 7.05040, 1.87529, 13.2216
0.73750, 7.51559, 1.83855, 13.8178
0.73760, 7.52200, 1.83805, 13.8258
0.74000, 9.23169, 1.82615, 16.8585
0.74020, 7.81113, 1.82516, 14.2566
0.74760, 8.18975, 1.78921, 14.6532
0.74950, 8.40992, 1.78015, 14.9709
0.74979, 8.44409, 1.77877, 15.0201
0.75000, 8.46645, 1.77778, 15.0515
0.75020, 7.35286, 1.77683, 13.0648
0.75028, 8.81559, 1.77645, 15.6605
0.75040, 8.82912, 1.77588, 15.6795
0.75760, 8.74490, 1.74229, 15.2361
0.75950, 8.89862, 1.73358, 15.4265
0.75979, 8.92262, 1.73226, 15.4563
0.76000, 9.01818, 1.7313, 15.6132
0.76018, 9.44356, 1.73048, 16.3419
0.76040, 9.27291, 1.72948, 16.0373
0.76350, 9.18243, 1.71547, 15.7521
0.76379, 9.17555, 1.71416, 15.7284
0.76400, 9.19366, 1.71322, 15.7508
0.76417, 9.45586, 1.71246, 16.1928
0.76440, 9.42370, 1.71143, 16.128
0.76500, 9.44214, 1.70874, 16.1342
0.76760, 9.52205, 1.69719, 16.1607
0.76950, 9.72673, 1.68882, 16.4267
0.76979, 9.76121, 1.68755, 16.4725
0.77000, 9.99286, 1.68663, 16.8542
0.77011, 10.48340, 1.68614, 17.6765
0.77040, 10.32274, 1.68487, 17.3925
0.77320, 10.85005, 1.67269, 18.1488
0.77350, 10.91999, 1.6714, 18.2516
0.77360, 10.94949, 1.67096, 18.2962
0.77379, 11.09090, 1.67014, 18.5234
0.77400, 11.20199, 1.66924, 18.6988
0.77438, 11.12463, 1.6676, 18.5514
0.77440, 11.41367, 1.66751, 19.0324
0.77560, 12.35831, 1.66236, 20.5439
0.77750, 13.65382, 1.65424, 22.5867
0.77760, 13.72113, 1.65382, 22.6922
0.77779, 14.05203, 1.65301, 23.2281
0.77800, 14.58469, 1.65212, 24.0956
0.77811, 15.04189, 1.65165, 24.8439
0.77817, 15.43237, 1.6514, 25.4849
0.77820, 15.02042, 1.65127, 24.8027
0.77840, 15.04593, 1.65042, 24.8321
0.77871, 15.29651, 1.64911, 25.2256
0.77948, 16.04105, 1.64585, 26.4011
0.77960, 16.15387, 1.64534, 26.5787
0.77979, 16.63730, 1.64454, 27.3607
0.77990, 17.09370, 1.64408, 28.1034
0.78000, 17.36742, 1.64366, 28.5461
0.78017, 17.96852, 1.64294, 29.5212
0.78040, 18.16800, 1.64197, 29.8313
0.78059, 18.39342, 1.64117, 30.1868
0.78079, 18.61971, 1.64033, 30.5425
0.78100, 18.70267, 1.63945, 30.6621
0.78140, 19.00943, 1.63777, 31.1331
0.78160, 19.21468, 1.63693, 31.4531
0.78163, 19.26361, 1.63681, 31.5308
